Name,Ename,Code,Group Type,Attribute,Function Code,Data Type,Register Address,Bit Position,Bit Number,Precision,Ratio,Offset,Endian,Is Persisted,Storage Interval,Mutate Bound,Default Value,Max Value,Min Value,Unit,Is Show
故障越限次数数组[40],Fault Overlimit Count Array [40],682,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[41],Fault Overlimit Count Array [41],683,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[42],Fault Overlimit Count Array [42],684,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[43],Fault Overlimit Count Array [43],685,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[44],Fault Overlimit Count Array [44],686,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[45],Fault Overlimit Count Array [45],687,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[46],Fault Overlimit Count Array [46],688,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[47],Fault Overlimit Count Array [47],689,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[48],Fault Overlimit Count Array [48],690,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[49],Fault Overlimit Count Array [49],691,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[50],Fault Overlimit Count Array [50],692,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[51],Fault Overlimit Count Array [51],693,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[52],Fault Overlimit Count Array [52],694,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[53],Fault Overlimit Count Array [53],695,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[54],Fault Overlimit Count Array [54],696,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[55],Fault Overlimit Count Array [55],697,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[56],Fault Overlimit Count Array [56],698,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[57],Fault Overlimit Count Array [57],699,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[58],Fault Overlimit Count Array [58],700,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[59],Fault Overlimit Count Array [59],701,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[60],Fault Overlimit Count Array [60],702,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[61],Fault Overlimit Count Array [61],703,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[62],Fault Overlimit Count Array [62],704,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[63],Fault Overlimit Count Array [63],705,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[64],Fault Overlimit Count Array [64],706,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[65],Fault Overlimit Count Array [65],707,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[66],Fault Overlimit Count Array [66],708,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[67],Fault Overlimit Count Array [67],709,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[68],Fault Overlimit Count Array [68],710,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[69],Fault Overlimit Count Array [69],711,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[70],Fault Overlimit Count Array [70],712,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[71],Fault Overlimit Count Array [71],713,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[72],Fault Overlimit Count Array [72],714,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[73],Fault Overlimit Count Array [73],715,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[74],Fault Overlimit Count Array [74],716,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[75],Fault Overlimit Count Array [75],717,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[76],Fault Overlimit Count Array [76],718,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[77],Fault Overlimit Count Array [77],719,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[78],Fault Overlimit Count Array [78],720,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[79],Fault Overlimit Count Array [79],721,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
